[2019-03-27 12:42:03] slim-bookshelf-api.INFO: Processing home action [] {"uid":"7ac99d3"}
[2019-03-27 12:46:23] slim-bookshelf-api.INFO: Processing home action [] {"uid":"f8e938b"}
[2019-03-27 12:49:13] slim-bookshelf-api.INFO: Processing '/' route [] {"uid":"d54888f"}
[2019-03-27 12:49:19] slim-bookshelf-api.INFO: Processing '/' route [] {"uid":"6ae1c41"}
[2019-03-27 12:49:23] slim-bookshelf-api.INFO: Processing '/' route [] {"uid":"caa68e5"}
[2019-03-27 12:49:33] slim-bookshelf-api.INFO: Processing '/' route [] {"uid":"82317df"}
[2019-03-28 12:58:51] slim-bookshelf-api.INFO: Processing home action [] {"uid":"04d81af"}
[2019-03-28 13:02:11] slim-bookshelf-api.INFO: Processing home action [] {"uid":"befc857"}
[2019-03-28 13:04:37] slim-bookshelf-api.INFO: Processing '/' route [] {"uid":"5debd11"}
[2019-03-28 13:20:18] slim-bookshelf-api.INFO: Processing home action [] {"uid":"a246d39"}
[2019-03-28 13:21:58] slim-bookshelf-api.INFO: Processing home action [] {"uid":"cc8f924"}
[2019-03-28 13:22:40] slim-bookshelf-api.INFO: Processing home action [] {"uid":"a7a7e5d"}
[2019-03-28 13:39:36] slim-bookshelf-api.INFO: Processing '/' route [] {"uid":"2fc2f06"}
[2019-03-28 13:39:56] slim-bookshelf-api.INFO: Processing '/' route [] {"uid":"68242dd"}
[2019-03-28 13:43:52] slim-bookshelf-api.INFO: Listing all authors [] {"uid":"551f860"}
[2019-03-28 13:44:47] slim-bookshelf-api.INFO: Listing all authors [] {"uid":"f97ff4c"}
[2019-04-08 17:22:31] maishapay-api.INFO: Processing '/' route [] {"uid":"a6b441c"}
[2019-04-08 17:22:53] maishapay-api.INFO: Processing home action [] {"uid":"30264fb"}
[2019-04-25 12:45:51] maishapay-api.INFO: Processing home action [] {"uid":"4b92b94"}
[2019-04-25 12:47:55] maishapay-api.INFO: Processing home action [] {"uid":"1dee896"}
[2019-04-25 12:51:57] maishapay-api.INFO: Processing '/' route [] {"uid":"b242bd4"}
[2019-04-25 12:52:03] maishapay-api.INFO: Processing home action [] {"uid":"9dbbd24"}
[2019-04-25 15:53:36] maishapay-api.INFO: Listing all customers [] {"uid":"f45fd04"}
[2019-04-25 16:51:45] maishapay-api.INFO: Creating a new client {"data":[]} {"uid":"0abd9ab"}
[2019-04-25 16:51:46] maishapay-api.INFO: Creating a new client {"data":[]} {"uid":"397e85a"}
[2019-04-25 16:51:46] maishapay-api.INFO: Creating a new client {"data":[]} {"uid":"b86115f"}
[2019-04-25 16:51:46] maishapay-api.INFO: Creating a new client {"data":[]} {"uid":"c6d639d"}
[2019-04-25 16:51:47] maishapay-api.INFO: Creating a new client {"data":[]} {"uid":"fdbdfdd"}
[2019-04-25 16:53:51] maishapay-api.INFO: Creating a new client {"data":[]} {"uid":"b8b8362"}
[2019-04-25 16:53:52] maishapay-api.INFO: Creating a new client {"data":[]} {"uid":"e29e4fb"}
[2019-04-25 16:53:53] maishapay-api.INFO: Creating a new client {"data":[]} {"uid":"ebed017"}
[2019-04-25 16:55:01] maishapay-api.INFO: Listing all customers [] {"uid":"7ada76b"}
[2019-04-25 16:59:05] maishapay-api.INFO: Creating a new customer {"data":[]} {"uid":"7df0cd6"}
[2019-04-25 16:59:07] maishapay-api.INFO: Creating a new customer {"data":[]} {"uid":"bc3856f"}
[2019-04-25 16:59:08] maishapay-api.INFO: Creating a new customer {"data":[]} {"uid":"6862f81"}
[2019-04-25 16:59:09] maishapay-api.INFO: Creating a new customer {"data":[]} {"uid":"e2d3b68"}
[2019-04-25 16:59:11] maishapay-api.INFO: Creating a new customer {"data":[]} {"uid":"7f69078"}
[2019-04-25 16:59:12] maishapay-api.INFO: Creating a new customer {"data":[]} {"uid":"e50225c"}
[2019-04-25 16:59:13] maishapay-api.INFO: Creating a new customer {"data":[]} {"uid":"e06fe33"}
[2019-04-25 16:59:14] maishapay-api.INFO: Creating a new customer {"data":[]} {"uid":"ee3ae95"}
[2019-04-24 00:58:41] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"password","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"7a3d51d"}
[2019-04-24 00:59:22] maishapay-api.INFO: Creating a new client {"data":null} {"uid":"993230b"}
[2019-04-24 01:00:36] maishapay-api.INFO: Creating a new client {"data":null} {"uid":"2e45ac5"}
[2019-04-24 01:01:06] maishapay-api.INFO: Creating a new client {"data":null} {"uid":"a373bba"}
[2019-04-24 01:01:08] maishapay-api.INFO: Creating a new client {"data":null} {"uid":"6fc7600"}
[2019-04-24 01:01:14] maishapay-api.INFO: Creating a new client {"data":null} {"uid":"eb6b8e1"}
[2019-04-24 01:01:15] maishapay-api.INFO: Creating a new client {"data":null} {"uid":"cd5755e"}
[2019-04-24 01:01:15] maishapay-api.INFO: Creating a new client {"data":null} {"uid":"778f5f9"}
[2019-04-24 01:01:16] maishapay-api.INFO: Creating a new client {"data":null} {"uid":"9b779fd"}
[2019-04-24 01:03:42] maishapay-api.INFO: Creating a new client {"data":[]} {"uid":"dbe033d"}
[2019-04-24 01:04:56] maishapay-api.INFO: Creating a new client {"data":[]} {"uid":"2cf19a9"}
[2019-04-24 01:04:57] maishapay-api.INFO: Creating a new client {"data":[]} {"uid":"8d37878"}
[2019-04-24 01:04:59] maishapay-api.INFO: Creating a new client {"data":[]} {"uid":"49cc39b"}
[2019-04-27 03:39:51] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"password","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"7c985db"}
[2019-04-27 03:51:18] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"client_credentials","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"2c6f2e8"}
[2019-04-27 03:51:21] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"client_credentials","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"6bad0f7"}
[2019-04-27 03:51:21] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"client_credentials","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"59b2f43"}
[2019-04-27 03:51:29] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"client_credentials","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"1431cf9"}
[2019-04-27 03:51:30] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"client_credentials","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"ada3d28"}
[2019-04-27 03:51:30] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"client_credentials","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"fe4afb3"}
[2019-04-27 03:51:31] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"client_credentials","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"c01d50d"}
[2019-04-27 03:51:31] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"client_credentials","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"35753f5"}
[2019-04-27 03:51:45] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"client_credentials","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"d3ca8bf"}
[2019-04-27 03:52:15] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"client_credentials","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"159fc8a"}
[2019-04-27 03:53:15] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"client_credentials","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"b737af7"}
[2019-04-27 03:53:16] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"client_credentials","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"7e42d60"}
[2019-04-27 03:53:16] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"client_credentials","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"00580b3"}
[2019-04-27 03:53:17] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"client_credentials","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"c02ce73"}
[2019-04-27 03:53:35] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"client_credentials","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"2841426"}
[2019-04-27 03:53:36] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"client_credentials","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"f97ca59"}
[2019-04-27 03:53:36] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"client_credentials","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"2175400"}
[2019-04-27 03:53:36] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"client_credentials","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"2df435c"}
[2019-04-27 03:53:36] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"client_credentials","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"93fa448"}
[2019-04-27 03:53:38] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"client_credentials","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"f1443d2"}
[2019-04-27 03:53:39] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"client_credentials","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"757d81e"}
[2019-04-27 03:53:39] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"client_credentials","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"28b00a0"}
[2019-04-27 03:53:40] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"client_credentials","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"ae85fc7"}
[2019-04-27 03:53:40] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"client_credentials","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"c776c5b"}
[2019-04-27 03:53:40] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"client_credentials","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"4fbb029"}
[2019-04-27 03:53:41] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"client_credentials","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"c301444"}
[2019-04-27 03:54:29] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"client_credentials","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"0c721e7"}
[2019-04-27 03:54:30] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"client_credentials","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"3a04c45"}
[2019-04-27 03:54:45] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"client_credentials","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"f1c56ee"}
[2019-04-27 03:55:28] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"client_credentials","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"c5c6b6e"}
[2019-04-27 03:55:36] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"client_credentials","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"30d34f5"}
[2019-04-27 03:55:37] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"client_credentials","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"9869915"}
[2019-04-27 03:55:51] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"client_credentials","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"6d476f0"}
[2019-04-27 03:55:52] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"client_credentials","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"e829f7b"}
[2019-04-27 03:56:24] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"client_credentials","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"e0c98b2"}
[2019-04-27 03:56:27] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"client_credentials","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"2a71340"}
[2019-04-27 03:57:55] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"client_credentials","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"8d1fff6"}
[2019-04-27 03:57:56] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"client_credentials","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"f8b8a40"}
[2019-04-27 03:57:56] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"client_credentials","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"172d369"}
[2019-04-27 03:57:56] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"client_credentials","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"0388b01"}
[2019-04-27 03:57:57] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"client_credentials","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"4447c8e"}
[2019-04-27 03:57:57] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"client_credentials","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"0c47273"}
[2019-04-27 03:57:57] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"client_credentials","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"38170e7"}
[2019-04-27 03:58:00] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"client_credentials","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"4d99074"}
[2019-04-27 03:58:00] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"client_credentials","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"5e06a1c"}
[2019-04-27 03:58:01] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"client_credentials","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"0b18273"}
[2019-04-27 03:58:01] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"client_credentials","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"5b4a1cc"}
[2019-04-27 03:58:01] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"client_credentials","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"3f756cf"}
[2019-04-27 03:58:01] maishapay-api.INFO: Creating a new client {"data":{"grant_type":"client_credentials","client_id":"client-id-814469d5-919f-4b67-9360-5b777b040c73","client_secret":"client-secret-6ee09212619727161f73d5e3f853a7a28b98646d","username":"customer-id-814469d5-919f-4b67-9360-5b777b040c73","password":"pwd-test-1234567890"}} {"uid":"bcb155f"}
